"Tidsmerke","Age","Gender","How familiar are you with the concepts of water reuse, water conservation, and symbiosis? ","Have you previously participated in water-related initiatives/efforts like this one? ","How often do you engage with events related to environmental sustainability? ","How interested are you in learning more about water management or conservation practices? ","Have you ever used an Augmented Reality (AR), Virtual Reality (VR), or another type of immersive experience (IMX) before?","To what extent has your existing knowledge influenced your understanding of water reuse and symbiosis portrayed in the AR Sandbox?","Has your perception of the importance of water management practices changed after engaging with the AR Sandbox? ","The AR Sandbox environment responded well to my hand movements, allowing me to interact with the sandbox and manipulate the virtual terrain effectively. ","Using AR Sandbox with hand movement felt natural to me; for example, I could easily shape the terrain and observe changes based on my movements. ","I felt immersed in the gameplay while using AR Sandbox (for example, when sculpting the terrain or observing the effects of water flow). ","I felt comfortable using AR Sandbox with hand movement (for example, when using movements to add or remove water from the virtual environment). ","I felt like I had good control over what I did in AR Sandbox (for example, using movements to sculpt detailed landforms or control water flow). ","Time felt different than usual when I was using AR Sandbox (for example, it felt like time passed quickly). ","I am satisfied using AR Sandbox with hand movement (for example, using movements to interact with the sandbox and navigate the virtual environment). ","I had fun using AR Sandbox with hand movement; it was an exciting and engaging experience. ","I wanted to stay longer in AR Sandbox because it was exciting; I didn't want the experience to end. ","I felt confident using AR Sandbox with hand movement (for example, knowing how to effectively use movements to manipulate the virtual environment).","Overall, I think AR Sandbox with hand movement is a useful and practical way to learn about water systems and conservation practices. ","I liked AR Sandbox with hand movement and found it enjoyable (for example, it made learning about water effects in the ecosystem interactive). ","If I use AR Sandbox with hand movement again, I think I will understand it better (for example, becoming more proficient at using movements to interact with the virtual environment). ","What did you like about your experience using AR Sandbox with hand movement? ","What did you not like about your experience using AR Sandbox with hand movement? ","Do you have any ideas to improve the experience using AR Sandbox with hand movement? "
"2024/05/23 1:49:53 p.m. EEST","24","Male","Slightly","No","Rarely or never","Moderately","Yes","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","I felt like God. Being able to terraform the tarrain as I wanted felt good. And the fast response time of the system made the experience profound.","","Death animations. Fish that jumps on land and animals that drowns."
"2024/05/23 1:54:36 p.m. EEST","20","Male","Slightly","No","Rarely or never","Slightly","Yes","4","3","5","5","5","5","4","4","5","4","4","5","5","5","4","It was very engaging and I was quick to understand the concept.","The water level was a bit hard to control, slight differences made a big difference in the water level. I was also not sure how the fish would react to deeper water.",""
"2024/05/23 1:59:41 p.m. EEST","20","Female","Moderately","No","Rarely or never","Very","No","4","4","5","5","5","5","5","5","5","5","5","5","4","5","5","fun, exiting","",""
"2024/05/23 2:03:41 p.m. EEST","35","Male","Not familiar at all","No","Rarely or never","Moderately","Yes","2","4","5","5","5","4","4","4","5","5","3","4","4","4","4","Touching the sand, seeing the results of my interactions","","Maybe a bigger sandbox"
"2024/05/23 2:11:42 p.m. EEST","25","Male","Slightly","No","Sometimes","Very","Yes","4","4","5","5","5","5","4","5","5","5","5","4","5","5","5","Easy to understand, interactable, consise","","Improve accesability by adding voice control - simulating elevation with only colors"
"2024/05/23 2:15:04 p.m. EEST","25","Male","Moderately","No","Occasionally","Moderately","Yes","3","3","5","5","4","4","4","4","5","3","3","4","5","4","5","The feedback from the visuals where responsive, and made it easier to correlate actions","",""
"2024/05/23 2:18:55 p.m. EEST","24","Female","Slightly","No","Rarely or never","Moderately","Yes","3","4","5","5","5","5","5","5","5","5","5","5","5","5","5","Easy to manipulate the sand. Fun and engaging","Sometimes i blocked the projector light",""
"2024/05/23 2:24:22 p.m. EEST","24","Female","Very","Yes","Frequently","Very","Yes","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","det var engasjerende. Eg likte at det var ulike aspekt ved spelet/ulike fasar. Den var responsiv og det var eit intuitivt spel. Den første fasen av spelet var fin til å bli kjent med korleis sanden/sandboxen oppførte seg noko som var fint til dei delane av spelet der ein måtte handle raskare. Den mest engasjerande delen var når ein måtte redde dyra på kort tid. Veldig kul effekt med ""regn-vannet""","Det var litt vanskelig å nå venstre hjørne øverst i boksen. Kanskje det er bedre å ha boksen i eit rom der man kan gå rundt.","det kan vere tydlegare kva dyr som er i spelet. kanskje ""skjermen"" kan fortelle noko om dei som gjer at ein forstår kva dei treng."
"2024/05/23 2:44:49 p.m. EEST","25","Male","Slightly","No","Occasionally","Moderately","Yes","4","2","5","5","5","5","5","2","5","5","4","5","5","5","5","","",""
"2024/05/23 2:49:37 p.m. EEST","23","Male","Moderately","No","Rarely or never","Moderately","Yes","3","3","5","5","5","5","5","5","5","5","5","5","3","5","5","Very intuitive and fun to have digital world interact with the physical ","Needs more content. Perhaps also projectors from multiple angles to handle more strange shapes. Some shadows/projector light didn't reach all places","taller mountain deeper ocean and more things to do in it like more Animals, roads perhaps objects to physically place like buildings, volcanos"
